Battery1	Battery2	Battery3	Battery4	
12.830816	11.087523	7.482861	4.800000	
12.380816	10.637523	6.940172	4.800000	
11.930816	10.187523	6.371105	4.800000	
11.480816	9.737523	5.762573	4.800000	
11.030816	9.287523	5.143250	4.800000	
10.580816	8.837523	4.800000	4.800000	
10.130816	8.387523	4.800000	4.800000	
9.680816	7.937523	4.800000	4.800000	
9.230816	7.487523	4.800000	4.800000	
8.780816	7.037523	4.800000	4.800000	
8.330816	6.587523	4.800000	4.800000	
7.880816	6.137523	4.800000	4.800000	
7.430816	5.687523	4.800000	4.800000	
6.980816	5.237523	4.800000	4.800000	
6.530816	4.800000	4.800000	4.800000	
6.080816	4.800000	4.800000	4.800000	
5.630816	4.800000	4.800000	4.800000	
5.180816	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
4.800000	4.800000	4.800000	4.800000	
5.122100	4.800000	4.800000	4.800000	
5.380537	4.800000	4.800000	4.800000	
5.390887	4.800000	4.800000	4.800000	
5.840888	4.859260	4.800000	4.800000	
6.090845	4.859260	4.800000	4.800000	
6.540845	4.988035	4.800000	4.800000	
6.990845	5.152208	4.800000	4.800000	
7.440845	5.428890	4.800000	4.800000	
7.890845	5.539128	4.800000	4.800000	
8.314390	5.539128	4.800000	4.800000	
8.764390	5.817570	4.800000	4.800000	
9.214390	6.038860	4.800000	4.800000	
9.664390	6.355762	4.800000	4.800000	
10.114390	6.401440	4.800000	4.800000	
10.564390	6.703588	4.800000	4.800000	
